"title","artist","playlist"
"Rent I Pay","Spoon","current A-Z best of library"
"Respect","Aretha Franklin","current A-Z best of library"
"Respect Yourself","The Staple Singers","current A-Z best of library"
"Retrograde","James Blake","current A-Z best of library"
"Return To The Moon","EL VY","current A-Z best of library"
"Right Action","Franz Ferdinand","current A-Z best of library"
"Ring Of Fire","Johnny Cash","current A-Z best of library"
"Riptide","Vance Joy","current A-Z best of library"
"Rise Above","Black Flag","current A-Z best of library"
"River Deep - Mountain High","Ike and Tina Turner","current A-Z best of library"
"River Lea","Adele","current A-Z best of library"
"Road To Nowhere","Talking Heads","current A-Z best of library"
"Roadrunner","The Modern Lovers","current A-Z best of library"
"Rock Lobster","The B-52s","current A-Z best of library"
"Rock and Roll","Led Zeppelin","current A-Z best of library"
"Rock and Roll","The Velvet Underground","current A-Z best of library"
"Rock 'N' Roll High School","Ramones","current A-Z best of library"
"Rock 'n' Roll Lifestyle","Cake","current A-Z best of library"
"Rock The Casbah","The Clash","current A-Z best of library"
"Rocking in the Free World","Neil Young","current A-Z best of library"
"Rolling In The Deep","Adele","current A-Z best of library"
"Root Down","Beastie Boys","current A-Z best of library"
"Roxanne","The Police","current A-Z best of library"
"Royals","Lorde","current A-Z best of library"
"Rumble","Link Wray","current A-Z best of library"
"Rumor Has It","Adele","current A-Z best of library"
"Run Run Run","The Gestures","current A-Z best of library"
"Running Up That Hill","Kate Bush","current A-Z best of library"
"Running With the Wolves","Cloud Cult","current A-Z best of library"
"S.O.B.","Nathaniel Rateliff and the Night Sweats","current A-Z best of library"
"Sabotage","Beastie Boys","current A-Z best of library"
"Sacrilege","Yeah Yeah Yeahs","current A-Z best of library"
"Same Love feat. Mary Lambert","Macklemore and Ryan Lewis","current A-Z best of library"
"Save It For Later","The English Beat","current A-Z best of library"
"Savion Glover","P.O.S.","current A-Z best of library"
"Say It Ain't So","Weezer","current A-Z best of library"
"Say It Loud I'm Black And I'm Proud","James Brown","current A-Z best of library"
"Scar Tissue","Red Hot Chili Peppers","current A-Z best of library"
"Scenario","A Tribe Called Quest","current A-Z best of library"
"Search and Destroy","Iggy and The Stooges","current A-Z best of library"
"Secret Smile","Semisonic","current A-Z best of library"
"Sedona","Houndmouth","current A-Z best of library"
"See A Little Light","Bob Mould","current A-Z best of library"
"See How We Are","X","current A-Z best of library"
"See No Evil","Television","current A-Z best of library"
"Seether","Veruca Salt","current A-Z best of library"
"September Gurls","Big Star","current A-Z best of library"
"Sequestered In Memphis","The Hold Steady","current A-Z best of library"
"Seven Nation Army","The White Stripes","current A-Z best of library"
"Sex On Fire","Kings of Leon","current A-Z best of library"
"Sexy Boy","Air","current A-Z best of library"
"Shadow People","Dr. Dog","current A-Z best of library"
"Shadowboxer","Fiona Apple","current A-Z best of library"
"Shake","Otis Redding","current A-Z best of library"
"Shake","The Head and the Heart","current A-Z best of library"
"Shake It Out","Florence and the Machine","current A-Z best of library"
"Shake Me Down","Cage The Elephant","current A-Z best of library"
"Shake Some Action","Flamin' Groovies","current A-Z best of library"
"Shake Your Rump","Beastie Boys","current A-Z best of library"
"Shapes Of Things","The Yardbirds","current A-Z best of library"
"She Blinded Me With Science","Thomas Dolby","current A-Z best of library"
"She Don't Use Jelly","The Flaming Lips","current A-Z best of library"
"Sheela-Na-Gig","PJ Harvey","current A-Z best of library"
"Sheena Is A Punk Rocker","Ramones","current A-Z best of library"
"She's Lost Control","Joy Division","current A-Z best of library"
"She's Not Me","Jenny Lewis","current A-Z best of library"
"She's So Modern","The Boomtown Rats","current A-Z best of library"
"Shhh","Atmosphere","current A-Z best of library"
"Should I Stay Or Should I Go","The Clash","current A-Z best of library"
"Shout","Tears For Fears","current A-Z best of library"
"Shutterbugg","Big Boi","current A-Z best of library"
"Signed Sealed Delivered","Stevie Wonder","current A-Z best of library"
"Silver Lining","Rilo Kiley","current A-Z best of library"
"Sin City","The Flying Burrito Brothers","current A-Z best of library"
"Singing in My Sleep","Semisonic","current A-Z best of library"
"Sir Duke","Stevie Wonder","current A-Z best of library"
"Sister Havana","Urge Overkill","current A-Z best of library"
"Sister Jack","Spoon","current A-Z best of library"
"Sittin on The Dock of the Bay","Otis Redding","current A-Z best of library"
"Sixteen Saltines","Jack White","current A-Z best of library"
"Skinny Love","Bon Iver","current A-Z best of library"
"Skyway","The Replacements","current A-Z best of library"
"Sleep To Dream","Fiona Apple","current A-Z best of library"
"Sleeping In","The Postal Service","current A-Z best of library"
